stock_code,post_id,title,author,date,reads,replies,sector
601360,1769252291,这个公司就是追市场热点，没有技术深度，东一榔头，西一锤子的，缺乏深入的技术发展定,雨过的经荷,09-05 09:00,114,1,AI_Agent
601360,1769251549,唱多发利好，唱空的发利空！股票位置焦灼状态，ai上游那么大建设，下游国家已经推广,融券起家,09-05 08:47,150,1,AI_Agent
601360,1769259428,周五冲高回落，下周一应该有个回踩，回踩建个底仓，上车上车！,投资需要眼光YYDS,09-05 10:46,147,1,AI_Agent
601360,1769255328,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,股神202088,09-05 09:45,93,1,AI_Agent
601360,1769255322,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,股神202088,09-05 09:45,61,1,AI_Agent
601360,1769255589,两个月内连续两起OpenAI智能体“越狱”事件，将加速全球AI智能体安全监管落地,用户名还没想好,09-05 09:49,808,0,AI_Agent
601360,1769254639,结合360安全视角解读OpenAI智能体劫持德国网站事件,用户名还没想好,09-05 09:34,396,0,AI_Agent
601360,1769251121,为啥都看涨，看走势下应该周会绿才对吧,等A股一万点,09-05 08:40,67,2,AI_Agent
601360,1769173789,等大资金来回T解套了就该下跌了。,稳住心态别乱动,09-04 06:51,44,1,AI_Agent
601360,1769185532,看空的基本上都是老钉子户。备受折磨，已经无力看多了，当初的看多逻辑已经完全改受，,戏说人生,09-04 08:08,423,2,AI_Agent
601360,1769245961,任何对提升六O股价的新闻都是扯蛋，一动还是不动，一如既往的跌，我和老板减持,股友V699652C15,09-05 07:50,54,0,AI_Agent
601360,1769244421,三六零：融资净偿还3454.17万元，融资余额20.19亿元,三六零资讯,09-05 07:37,89,0,AI_Agent
601360,1769242026,迎接通用人工智能时代，AI应用将彻底井喷,新的感觉6688,09-05 06:46,259,0,AI_Agent
601360,1769231561,千问的流氓崛起360智能体已经没有存在意义,洒脱随性的辣风4,09-05 12:06,72,1,AI_Agent
601360,1769343102,今年天网杯，AI直接坐上了裁判席！网络漏洞AI安全#天网杯,天光照耀,09-06 08:40,102,2,AI_Agent
601360,1769242397,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,天光照耀,09-05 06:57,249,4,AI_Agent
601360,1769334606,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！现在是信息网,天光照耀,09-06 06:21,69,0,AI_Agent
601360,1769334350,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！,天光照耀,09-06 06:17,48,0,AI_Agent
601360,1769321737,三六零：周末要闻汇总：事关人工智能、算力设施等七部门最新部署东方财富Choice,天光照耀,09-06 02:25,217,1,AI_Agent
601360,1769108010,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,天光照耀,09-04 03:03,173,1,AI_Agent
601360,1769142683,三六零研发投入超10亿元。科创板公司研发投入持续加大，8家公司合计投入38.18,天光照耀,09-04 04:22,176,2,AI_Agent
601360,1769259006,今年天网杯，三六零AI直接坐上了裁判席！网络漏洞AI安全#天网杯,天光照耀,09-05 10:40,101,0,AI_Agent
601360,1769215542,、国家网络安全宣传周9月14‑20日开启，下周开始预热今年重点议题就是AI安全、,天光照耀,09-04 10:13,499,3,AI_Agent
601360,1769205626,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,天光照耀,09-04 09:40,367,1,AI_Agent
601360,1769243382,$三六零(SH601360)$,股友信仰之道,09-05 07:20,303,0,AI_Agent
601360,1769186512,360AI安全这个细分赛道，国内属于第一梯队，别家很难比倚天屠龙AI安全智能体，,天光照耀,09-04 08:14,379,5,AI_Agent
601360,1769109489,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,天光照耀,09-04 03:04,197,3,AI_Agent
601360,1769179419,还能上10元吗？你都快坚持不住了,倦懒的尉珺,09-04 07:27,170,5,AI_Agent
601360,1769188431,$三六零(SH601360)$,幸福如哥,09-04 08:26,835,5,AI_Agent
601360,1769196596,看到说360安全收入占比小所以不是网安、ai安全企业的各种帖子和评论就想笑360,大蛋两边甩,09-04 09:04,300,1,AI_Agent
601360,1769140741,下面那么大个跳空缺口等着补，管住手，等补缺口,橘子皮泡点水喝,09-04 04:15,78,2,AI_Agent
601360,1769197960,三六零今年天网杯，AI直接坐上了裁判席！网络漏洞AI安全#天网杯,天光照耀,09-04 09:10,72,0,AI_Agent
601360,1769197244,如果有杂毛比赛，这只股肯定夺冠,知识的尹欣宙,09-04 09:07,41,0,AI_Agent
601360,1769188917,三六零今年下半年、明年能不能见到效益突破1）2026下半年：技术产品齐备，订单数,天光照耀,09-04 08:30,275,0,AI_Agent
601360,1769182657,押宝A&#x27;i应用,天人路成傲天,09-04 07:49,118,0,AI_Agent
601360,1769144865,果然高开低走，我大A从来都是这样！,蔡六斤,09-04 04:31,55,2,AI_Agent
601360,1769157045,收盘点评，下周一有望实现反包上涨，这个概率还不算小，起码有60%吧，退一步讲，即,有礼貌的飘梦琳16,09-04 05:22,454,2,AI_Agent
601360,1769159851,$三六零(SH601360)$,似她三分已是绝色,09-04 05:34,246,2,AI_Agent
601360,1768450523,事实证明人真的不能太闲……搞了一天，降了1毛钱成本……，累了……想砸就砸个痛快，,北极甜虾Win10,09-03 02:55,397,9,AI_Agent
601360,1769169744,高开低走，冲高回落，涨停炸板，平开低走。就没有一次是稳的。给我无语到笑了,大曾子酥妻,09-04 06:26,98,3,AI_Agent
601360,1769173225,$三六零(SH601360)$,股友信仰之道,09-04 06:48,457,0,AI_Agent
601360,1769173158,$三六零(SH601360)$,股友信仰之道,09-04 06:47,188,0,AI_Agent
601360,1769160668,8.99-8.89-8.98来，继续看你蹦哒,知白守黑1,09-04 05:38,105,4,AI_Agent
601360,1769171232,好好生活、别想太多、时间一天比一天少、我们一天比一天老、人生的路上记得要善待自己,涨停嗨翻全场谢谢,09-04 06:34,50,0,AI_Agent
601360,1768844833,天津上市公司2026年半年报营收稳步增长 科创动能持续释放,海光信息资讯,09-04 11:01,1278,4,AI_Agent
601360,1769165526,今年天网杯，AI直接坐上了裁判席！#大有学问#网络安全#网络攻防#黑客#网络漏洞,资本观察局,09-04 06:03,1615,1,AI_Agent
601360,1769149990,纳米ai给出的结果怎么不是最新日期的，比如分析股价，分析的是7月之前的，不是截止,股神202088,09-04 04:51,54,1,AI_Agent
601360,1768976760,买在最高点，每次相信你都会吃面,积极的邱京城1,09-04 01:44,309,3,AI_Agent
601360,1769163485,真是个死股雷打不动,股友G519k31217,09-04 05:52,38,0,AI_Agent
601360,1769123157,原始人deepseek稳如泰山，月之暗面依然领先（纳米work自制网站）,水高山低,09-04 03:25,220,2,AI_Agent
601360,1769152860,下周一周二总融资净偿还1121，414.706万元。,股友056D52N053,09-04 05:04,88,0,AI_Agent
601360,1765341099,下降通道，不破趋势，不进。,盘口观星者,08-27 08:31,354,1,AI_Agent
601360,1769041976,今天这个T可以，赚到了,股友65m9u02900,09-04 02:25,124,5,AI_Agent
601360,1769137923,中午有个人说早上红3下午收一个点，真TM让你说对了，TM每次都是回落,股友a1261r8275,09-04 04:06,60,1,AI_Agent
601360,1769140253,从来都没有好好的涨过一天，只要上午涨，下午就跳水，上午跌，下午跌的更狠，这只票到,股友613e761g93,09-04 04:13,51,0,AI_Agent
601360,1769137817,信达地产,大傻就是牛,09-04 04:05,40,0,AI_Agent
601360,1769128857,傲天尾盘分享:兄弟们一周结束了，开心陪家人，快乐过周末，运气不会差。,天人路成傲天,09-04 03:40,468,3,AI_Agent
