stock_code,post_id,title,author,date,reads,replies,sector,stock_name,sector_name,title_clean,title_segmented,sentiment,sentiment_score
601360,1769251549,唱多发利好，唱空的发利空！股票位置焦灼状态，ai上游那么大建设，下游国家已经推广,融券起家,09-05 08:47,150,1,AI_Agent,三六零,AI Agent,唱多发利好，唱空的发利空！股票位置焦灼状态，ai上游那么大建设，下游国家已经推广,多发 利好 唱空 利空 位置 焦灼 状态 ai 上游 那么 建设 下游 国家 已经 推广,负面,-0.4286
601360,1769259428,周五冲高回落，下周一应该有个回踩，回踩建个底仓，上车上车！,投资需要眼光YYDS,09-05 10:46,147,1,AI_Agent,三六零,AI Agent,周五冲高回落，下周一应该有个回踩，回踩建个底仓，上车上车！,周五 冲高 回落 下周一 有个 建个 上车 上车,正面,0.3333
601360,1769255328,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,股神202088,09-05 09:45,93,1,AI_Agent,三六零,AI Agent,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,减持 完成 减持 实际 恰恰相反 抓紧,负面,-1.0
601360,1769255322,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,股神202088,09-05 09:45,61,1,AI_Agent,三六零,AI Agent,都在等减持完成，都觉得减持完可以响了，实际恰恰相反，抓紧卖吧卖吧,减持 完成 减持 实际 恰恰相反 抓紧,负面,-1.0
601360,1769255589,两个月内连续两起OpenAI智能体“越狱”事件，将加速全球AI智能体安全监管落地,用户名还没想好,09-05 09:49,808,0,AI_Agent,三六零,AI Agent,两个月内连续两起OpenAI智能体“越狱”事件，将加速全球AI智能体安全监管落地,两个 连续 两起 OpenAI 智能 越狱 事件 加速 全球 AI 智能 安全监管 落地,正面,1.0
601360,1769254639,结合360安全视角解读OpenAI智能体劫持德国网站事件,用户名还没想好,09-05 09:34,396,0,AI_Agent,三六零,AI Agent,结合360安全视角解读OpenAI智能体劫持德国网站事件,结合 360 安全 视角 解读 OpenAI 智能 劫持 德国 网站 事件,正面,1.0
601360,1769251121,为啥都看涨，看走势下应该周会绿才对吧,等A股一万点,09-05 08:40,67,2,AI_Agent,三六零,AI Agent,为啥都看涨，看走势下应该周会绿才对吧,为啥 看涨 走势 周会 绿才,中性,0.0
601360,1769173789,等大资金来回T解套了就该下跌了。,稳住心态别乱动,09-04 06:51,44,1,AI_Agent,三六零,AI Agent,等大资金来回T解套了就该下跌了。,资金 来回 解套 下跌,负面,-1.0
601360,1769185532,看空的基本上都是老钉子户。备受折磨，已经无力看多了，当初的看多逻辑已经完全改受，,戏说人生,09-04 08:08,423,2,AI_Agent,三六零,AI Agent,看空的基本上都是老钉子户。备受折磨，已经无力看多了，当初的看多逻辑已经完全改受，,看空 基本上 钉子户 备受 折磨 已经 无力 看多 当初 逻辑 已经 完全 改受,负面,-1.0
601360,1769245961,任何对提升六O股价的新闻都是扯蛋，一动还是不动，一如既往的跌，我和老板减持,股友V699652C15,09-05 07:50,54,0,AI_Agent,三六零,AI Agent,任何对提升六O股价的新闻都是扯蛋，一动还是不动，一如既往的跌，我和老板减持,任何 提升 股价 新闻 扯蛋 一动 一如既往 老板 减持,负面,-1.0
601360,1769244421,三六零：融资净偿还3454.17万元，融资余额20.19亿元,三六零资讯,09-05 07:37,89,0,AI_Agent,三六零,AI Agent,三六零：融资净偿还3454.17万元，融资余额20.19亿元,六零 融资 偿还 3454.17 万元 融资 余额 20.19 亿元,中性,0.0
601360,1769242026,迎接通用人工智能时代，AI应用将彻底井喷,新的感觉6688,09-05 06:46,259,0,AI_Agent,三六零,AI Agent,迎接通用人工智能时代，AI应用将彻底井喷,迎接 通用 人工智能 时代 AI 应用 彻底 井喷,正面,1.0
601360,1769231561,千问的流氓崛起360智能体已经没有存在意义,洒脱随性的辣风4,09-05 12:06,72,1,AI_Agent,三六零,AI Agent,千问的流氓崛起360智能体已经没有存在意义,千问 流氓 崛起 360 智能 已经 没有 存在 意义,正面,1.0
601360,1769343102,今年天网杯，AI直接坐上了裁判席！网络漏洞AI安全#天网杯,天光照耀,09-06 08:40,102,2,AI_Agent,三六零,AI Agent,今年天网杯，AI直接坐上了裁判席！网络漏洞AI安全#天网杯,今年 天网 AI 直接 坐上 裁判席 网络 漏洞 AI 安全 天网,正面,1.0
601360,1769242397,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,天光照耀,09-05 06:57,249,4,AI_Agent,三六零,AI Agent,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,六零 董事会 秘书 海龙 表示 依托 安全 模型 安全 智能 蜂群 六零 打造 实战,正面,1.0
601360,1769334606,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！现在是信息网,天光照耀,09-06 06:21,69,0,AI_Agent,三六零,AI Agent,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！现在是信息网,六零 周边 形势 战乱 平发 六零 网络安全 保护 国家 网络 信息 重要 力量 现在 信息网,中性,0.0
601360,1769334350,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！,天光照耀,09-06 06:17,48,0,AI_Agent,三六零,AI Agent,三六零：周边形势战乱平发三六零网络安全是保护国家网络信息的重要力量！,六零 周边 形势 战乱 平发 六零 网络安全 保护 国家 网络 信息 重要 力量,中性,0.0
601360,1769321737,三六零：周末要闻汇总：事关人工智能、算力设施等七部门最新部署东方财富Choice,天光照耀,09-06 02:25,217,1,AI_Agent,三六零,AI Agent,三六零：周末要闻汇总：事关人工智能、算力设施等七部门最新部署东方财富Choice,六零 周末 要闻 汇总 事关 人工智能 算力 设施 部门 最新 部署 东方 财富 Choice,正面,1.0
601360,1769108010,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,天光照耀,09-04 03:03,173,1,AI_Agent,三六零,AI Agent,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,六零 下半年 明确 AI 商业化 落地 计划 订单 有望 增多 目标 业绩 大幅 爆发 股价,正面,0.6
601360,1769142683,三六零研发投入超10亿元。科创板公司研发投入持续加大，8家公司合计投入38.18,天光照耀,09-04 04:22,176,2,AI_Agent,三六零,AI Agent,三六零研发投入超10亿元。科创板公司研发投入持续加大，8家公司合计投入38.18,六零 研发 投入 10 亿元 科创板 研发 投入 持续 加大 合计 投入 38.18,中性,0.0
601360,1769259006,今年天网杯，三六零AI直接坐上了裁判席！网络漏洞AI安全#天网杯,天光照耀,09-05 10:40,101,0,AI_Agent,三六零,AI Agent,今年天网杯，三六零AI直接坐上了裁判席！网络漏洞AI安全#天网杯,今年 天网 六零 AI 直接 坐上 裁判席 网络 漏洞 AI 安全 天网,正面,1.0
601360,1769215542,、国家网络安全宣传周9月14‑20日开启，下周开始预热今年重点议题就是AI安全、,天光照耀,09-04 10:13,499,3,AI_Agent,三六零,AI Agent,、国家网络安全宣传周9月14‑20日开启，下周开始预热今年重点议题就是AI安全、,国家 网络安全 宣传周 14 20 开启 下周 开始 预热 今年 重点 议题 就是 AI 安全,中性,0.0
601360,1769205626,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,天光照耀,09-04 09:40,367,1,AI_Agent,三六零,AI Agent,三六零董事会秘书张海龙表示，依托安全大模型与安全智能体蜂群，三六零打造实战化、智,六零 董事会 秘书 海龙 表示 依托 安全 模型 安全 智能 蜂群 六零 打造 实战,正面,1.0
601360,1769243382,$三六零(SH601360)$,股友信仰之道,09-05 07:20,303,0,AI_Agent,三六零,AI Agent,$三六零(SH601360)$,六零 SH601360,中性,0.0
601360,1769186512,360AI安全这个细分赛道，国内属于第一梯队，别家很难比倚天屠龙AI安全智能体，,天光照耀,09-04 08:14,379,5,AI_Agent,三六零,AI Agent,360AI安全这个细分赛道，国内属于第一梯队，别家很难比倚天屠龙AI安全智能体，,360AI 安全 这个 细分 赛道 国内 属于 第一 梯队 别家 很难 天屠龙 AI 安全 智能,正面,1.0
601360,1769109489,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,天光照耀,09-04 03:04,197,3,AI_Agent,三六零,AI Agent,三六零：下半年有明确AI商业化落地计划，订单有望增多，目标要业绩大幅爆发。股价有,六零 下半年 明确 AI 商业化 落地 计划 订单 有望 增多 目标 业绩 大幅 爆发 股价,正面,0.6
601360,1769179419,还能上10元吗？你都快坚持不住了,倦懒的尉珺,09-04 07:27,170,5,AI_Agent,三六零,AI Agent,还能上10元吗？你都快坚持不住了,10 坚持 不住,中性,0.0
